ID,Gender,Race,Age,Age_Group,Income,Credit_Score,Loan_Amount,Employment_Type,Education_Level,Citizenship_Status,Language_Proficiency,Disability_Status,Criminal_Record,Zip_Code_Group,Loan_Approved
415,Female,White,62,Over 60,90470,790,100269,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Approved
334,Male,White,49,25-60,106317,615,278731,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Approved
4658,Female,Hispanic,58,25-60,96596,698,414326,Full-time,Some College,Citizen,Fluent,Yes,No,Urban Professional,Approved
1794,Female,White,41,25-60,69501,840,414801,Part-time,Graduate,Citizen,Fluent,No,No,Urban Professional,Denied
9101,Male,White,32,25-60,128322,779,298557,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,Approved
5392,Male,White,34,25-60,86787,787,148771,Unemployed,Some College,Citizen,Fluent,No,No,High-income Suburban,Denied
9528,Male,Asian,61,Over 60,58950,767,180354,Full-time,Graduate,Permanent Resident,Limited,No,No,High-income Suburban,Approved
8426,Female,White,31,25-60,49313,575,354978,Full-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,Approved
9154,Male,White,60,25-60,70446,672,385262,Full-time,Bachelor's,Visa Holder,Fluent,No,No,Urban Professional,Approved
6241,Female,White,32,25-60,72614,784,328522,Self-employed,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Denied
7668,Male,White,74,Over 60,160586,698,171774,Full-time,Graduate,Citizen,Fluent,No,Yes,Working Class Urban,Approved
749,Female,White,25,25-60,90580,614,224126,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,Approved
6152,Male,Asian,70,Over 60,144023,612,330448,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Rural,Approved
534,Female,Black,61,Over 60,52021,562,129939,Part-time,Some College,Citizen,Fluent,No,No,Rural,Denied
9215,Female,White,27,25-60,108953,567,202187,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Approved
9557,Male,Hispanic,53,25-60,119069,808,114337,Part-time,High School,Citizen,Fluent,Yes,No,Historically Redlined,Approved
7241,Male,White,49,25-60,32813,595,435131,Full-time,High School,Visa Holder,Fluent,Yes,No,Urban Professional,Approved
6849,Female,Hispanic,73,Over 60,84425,834,241204,Full-time,Some College,Citizen,Fluent,No,No,Historically Redlined,Approved
2259,Female,Black,35,25-60,94178,849,442705,Full-time,Some College,Citizen,Limited,No,No,High-income Suburban,Denied
6691,Male,White,65,Over 60,155445,746,263250,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Denied
6204,Female,White,39,25-60,85011,548,245421,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional,Approved
4626,Female,Asian,58,25-60,140016,713,113803,Full-time,High School,Permanent Resident,Fluent,No,No,High-income Suburban,Approved
8511,Female,White,71,Over 60,156486,502,163934,Full-time,High School,Citizen,Limited,No,No,High-income Suburban,Approved
9692,Female,Multiracial,64,Over 60,33513,570,285855,Full-time,Some College,Citizen,Limited,No,No,Working Class Urban,Denied
9703,Male,White,33,25-60,152153,779,199176,Self-employed,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Approved
6593,Female,White,23,Under 25,118930,544,287897,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Denied
7311,Female,White,52,25-60,136092,589,133470,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined,Approved
7691,Female,White,52,25-60,168708,645,439111,Full-time,Graduate,Visa Holder,Limited,No,No,Urban Professional,Approved
757,Female,White,66,Over 60,162331,770,431963,Part-time,High School,Permanent Resident,Fluent,No,No,Urban Professional,Denied
3144,Male,White,71,Over 60,161251,786,423220,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Urban Professional,Approved
3999,Female,Black,73,Over 60,95380,560,427337,Part-time,Some College,Citizen,Fluent,No,Yes,Working Class Urban,Denied
393,Male,White,40,25-60,83097,693,222956,Full-time,Bachelor's,Citizen,Fluent,Yes,No,High-income Suburban,Approved
9126,Male,White,43,25-60,147599,585,217506,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional,Approved
791,Male,White,25,25-60,167387,715,444488,Full-time,High School,Citizen,Fluent,No,Yes,Working Class Urban,Approved
8713,Male,White,34,25-60,26869,849,99166,Self-employed,Some College,Citizen,Fluent,No,No,Urban Professional,Approved
2338,Male,Hispanic,48,25-60,114309,787,353945,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,Denied
3435,Male,White,52,25-60,148048,814,219809,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban,Approved
1226,Male,White,38,25-60,144784,534,183055,Part-time,High School,Citizen,Fluent,Yes,No,High-income Suburban,Denied
6887,Male,Hispanic,24,Under 25,42632,547,448347,Full-time,Some College,Citizen,Fluent,No,No,Rural,Denied
3399,Male,White,69,Over 60,80802,544,93046,Full-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,Approved
1167,Male,White,79,Over 60,152380,790,424478,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional,Approved
4668,Female,White,30,25-60,45174,836,375953,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Working Class Urban,Denied
4441,Male,White,52,25-60,159162,721,185724,Full-time,High School,Citizen,Fluent,No,No,Rural,Approved
8600,Female,Hispanic,61,Over 60,48216,605,155798,Self-employed,Bachelor's,Citizen,Fluent,Yes,No,High-income Suburban,Denied
4566,Female,Black,38,25-60,156683,739,89912,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,Approved
9075,Male,Multiracial,19,Under 25,117022,567,408292,Part-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,Denied
7478,Female,White,69,Over 60,173580,685,360294,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,Denied
370,Female,Black,67,Over 60,64000,644,133161,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Denied
3558,Female,Asian,32,25-60,68669,747,397078,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Denied
3560,Female,Black,38,25-60,124452,784,244148,Full-time,Graduate,Citizen,Limited,No,No,Rural,Denied
7842,Male,Asian,20,Under 25,166611,832,75045,Part-time,High School,Permanent Resident,Fluent,No,No,Historically Redlined,Approved
5798,Male,White,50,25-60,139351,716,409111,Full-time,High School,Visa Holder,Limited,No,No,High-income Suburban,Denied
3221,Female,Hispanic,59,25-60,115718,824,442266,Full-time,Some College,Visa Holder,Fluent,No,No,Working Class Urban,Approved
2638,Male,White,71,Over 60,42487,586,442357,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Denied
2093,Female,White,56,25-60,76202,527,104857,Full-time,High School,Citizen,Fluent,No,No,Rural,Denied
5928,Male,Hispanic,29,25-60,72918,783,392050,Full-time,Bachelor's,Permanent Resident,Fluent,Yes,No,Urban Professional,Approved
8448,Female,White,21,Under 25,65849,590,315930,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Historically Redlined,Denied
7050,Female,Black,65,Over 60,64886,749,98033,Full-time,Some College,Citizen,Fluent,No,No,Rural,Approved
6121,Male,Black,45,25-60,108828,825,310299,Part-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,Approved
9323,Male,White,56,25-60,134227,757,198730,Part-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Approved
8067,Male,White,53,25-60,84845,676,120262,Full-time,High School,Citizen,Fluent,Yes,No,Rural,Denied
7746,Female,Black,70,Over 60,89300,617,278750,Part-time,Graduate,Citizen,Fluent,No,No,Urban Professional,Denied
5452,Male,White,47,25-60,26266,532,349484,Full-time,Graduate,Permanent Resident,Fluent,No,Yes,Working Class Urban,Denied
4027,Male,White,51,25-60,158589,780,304224,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Approved
4214,Female,White,28,25-60,98152,615,103854,Part-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,Approved
2190,Female,White,48,25-60,69762,590,186241,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Denied
5197,Male,White,81,Over 60,122587,547,420731,Full-time,Graduate,Citizen,Fluent,Yes,No,Working Class Urban,Denied
6248,Female,White,22,Under 25,118970,549,144409,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Denied
5637,Male,White,29,25-60,116984,722,259142,Part-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,Approved
9484,Male,White,37,25-60,164469,793,286257,Full-time,Some College,Visa Holder,Limited,No,No,Historically Redlined,Approved
2664,Female,Black,21,Under 25,80863,619,151858,Gig,High School,Citizen,Fluent,No,No,Working Class Urban,Denied
